"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes"
"85","MY AUDIO GOT HACKED PART IIII",28,45.0719464406537,0.338769571930742,0.669351913638793,0.446805554971096,0.36592387406125,4,"scout"
"86","Bread",28,44.9585366810371,0.414705916760877,0.520678288902328,0.386244151456289,0.526416580919226,19,"scout"
"87","v4na",29,44.7501383912563,0.489172184576608,0.40009350229122,0.328704657010285,0.452725032307022,2,"medic"
"88","Moop",29,44.7051415079767,0.311591692753821,0.568483440989235,0.410395704248291,0.414971482747143,10,"soldier"
"89","camille",29,44.2514939725712,0.375630250382916,0.485938420796818,0.397453035195442,0.269676231524918,2,"scout"
"90","Suwawa",29,42.9914022789336,0.432048260794053,0.398576119105533,0.367517653272734,0.350779171215296,2,"medic"
"91","andre",29,42.7948473413939,0.379799568673157,0.558860016320336,0.222282675237336,0.327120341276754,10,"scout"
"92","Luggnuts",28,42.6958683041086,0.457034534672518,0.53420834088597,0.496273153197291,0.365109289258993,4,"medic"
"93","durc",28,42.3351323183288,0.351369495904744,0.526191916981096,0.452477296737642,0.355183197929569,8,"soldier"
"94","knoxu",28,42.1009256309833,0.363035776796548,0.658460248046239,0.52456714412356,0.304712670996913,2,"demoman"
"95","Rias Gremory",28,41.9158411760712,0.311892266122141,0.68484842143537,0.377446748771139,0.393649679151231,10,"scout"
"96","2345y",28,41.6012904240936,0.364362723116974,0.519626408902012,0.319221781065874,0.524459088933217,12,"soldier"
"97","morphe",28,41.4807851569829,0.35350510812835,0.643387502989663,0.51045173658111,0.367420090117444,4,"demoman"
"98","Lev",28,41.4427248353882,0.433003310504174,0.48280605607464,0.288406620710874,0.338121986694591,12,"scout"
"99","disturbed",28,40.9949988161006,0.433594513409501,0.290135525036592,0.492699120995113,0.281509269141188,6,"scout"
"100","lunar",28,40.9821544453023,0.460060848996984,0.47208073574841,0.400924371422427,0.3614759395164,12,"demoman"
"101","just jazz",28,40.9473431779333,0.486705413917031,0.407542305993087,0.436749468840295,0.345187752001089,10,"medic"
