"","nickname","class_primary","total_games","kills","assists","deaths","dpm","hpm","kad","kd","dtm","deathspm","killspm","cpm","gamescore","impact","survive","efficiency","objective","perc_dpm","perc_kad","perc_dtm","perc_deathspm","perc_cpm","perc_kd","perc_kpm","perc_damageperheal","perc_damageperdt"
"25","arnold","medic",10,0.9,11.5,6.7,21.8465006026184,0,1.85074626865672,0.134328358208955,125.879512762161,0.263210912085548,0.0394949748872408,0.227071070565072,55.5649055808067,0.744679428668258,0.647160434822565,0.547070046080612,0.542898605140818,0,0.631747589481692,0.298133134338622,0.25095370538556,0.610915960357749,0,0,0,0
"26","arnold","scout",12,23.8333333333333,10.6666666666667,13.0833333333333,268.397044027645,250.76899827674,2.63694267515924,1.82165605095541,201.225371609488,0.476026034417767,0.934688067796634,0.305012628330512,57.0582949942474,0.572850492737896,0.627897819868538,0.451627958070349,0.512598266743961,0.580471565343908,0.648734917594557,0.40539741053365,0.287093156253325,0.487030620380761,0.657366053044441,0.577688160487265,0.301066026948552,0.62440919081212
"27","Astonnn","soldier",15,18.8666666666667,6.93333333333333,17.0666666666667,278.971799097985,243.471761043409,1.51171875,1.10546875,223.620361496199,0.662790739740654,0.82688533942714,0.16155359381581,56.7809347132631,0.547155599884677,0.716223022573329,0.462332867604979,0.581450175986729,0.526624072640085,0.665607561850178,0.266145207927956,0.306671771132193,0.546228353110175,0.641881686573817,0.625939498215566,0.283143660466407,0.682911848230638
"28","ayr","soldier",19,15.3684210526316,6.84210526315789,19.8947368421053,254.301294399871,196.089388352618,1.11640211640212,0.772486772486772,237.922682584956,0.733942659070271,0.577761774066877,0.126096092892807,49.7263341425208,0.430183823063637,0.56611425357104,0.441067063262461,0.498247064245846,0.442028926656159,0.442995561392248,0.394428302791049,0.465558411102085,0.48333377215406,0.424877807665278,0.410681152482152,0.368425527305183,0.521892488997387
"29","Azer","medic",8,2.125,14.625,9,29.5372580278422,0.0354516806722689,1.86111111111111,0.236111111111111,138.124590766021,0.382832242959239,0.0808288547037181,0.170577766379655,45.7922377502243,0.428989043573334,0.52237988539014,0.486342399495114,0.553981701190352,0,0.584601455662344,0.465693673201155,0.460506440224136,0.528680495271091,0,0,0,0
"30","b1","scout",2,1,1,7.5,143.543354111455,188.346832891643,0.266666666666667,0.133333333333333,365.347878018738,1.13340300847299,0.150237019894741,0,23.8254883305124,0.212787445789598,0.223573229934828,0.231355556660887,0.200804480634053,0.0394798975139596,0.00334480737460366,0.965320580428416,0.95610198645549,1.99811944011557e-05,0.00565395324418759,0.000535947530259504,0.100956744854657,0.0035617773482989
"31","b25","scout",4,15.25,10.75,18,214.469263048835,112.971874155754,1.44444444444444,0.847222222222222,245.357099243446,1.02237247300326,0.608636209266995,0.249242981065913,40.4859648677828,0.357182587547539,0.331860205523334,0.569111686906476,0.413233480578401,0.303333043267558,0.269586683817267,0.649418745484421,0.832005466675593,0.469497413702333,0.226582796113809,0.310823237802424,0.787516165015985,0.304242949880087
"32","bappo","demoman",2,20.5,7,17.5,232.877061626679,217.99855124763,1.57142857142857,1.17142857142857,222.259171387758,0.568869117311003,0.668093655399867,0.162927291512446,43.9248989696108,0.325995401149537,0.576178247271666,0.475996361653566,0.582240888176052,0.18989933878673,0.405448491352813,0.218398272934017,0.629245232522651,0.589607184259319,0.42176796700105,0.530736446103403,0.554097071306248,0.397895652000885
"33","bappo","soldier",6,16.3333333333333,6.16666666666667,22.3333333333333,245.619636768464,162.98231113214,1.00746268656716,0.73134328358209,230.53091568868,0.681242534112866,0.510101736808616,0.082308647667692,48.0249364780983,0.409448168816984,0.60945321819807,0.560786310107454,0.444112887106426,0.425617505116435,0.419801123280734,0.378829520145767,0.402264043458093,0.397998116115043,0.428602490831257,0.34469402882221,0.599461964114079,0.522110656100829
"34","beni","medic",2,0,10.5,15.5,3.43996958522964,0,0.67741935483871,0,168.961366966754,0.515546967566191,0,0.165694058415553,42.1293643843491,0.337667217338076,0.391431486536492,0.402147551084951,0.472726311967281,0,0.159528107581912,0.62009827530326,0.7078060288394,0.573523940883666,0,0,0,0
"35","beni","scout",6,22.6666666666667,11.3333333333333,15.6666666666667,240.379261830428,237.365609873091,2.17021276595745,1.4468085106383,216.319560241115,0.51975184232863,0.78758953064506,0.304336922916034,49.1425524651308,0.460123128763447,0.56432732471683,0.389694545959125,0.492958045094115,0.451874469966634,0.507436418021868,0.500307016459006,0.371038334107334,0.525121611518674,0.497632822754272,0.419578437135446,0.353652227280347,0.425736864637903
"36","benjay","demoman",3,16.6666666666667,10.6666666666667,18.6666666666667,316.184207931643,298.491587371965,1.46428571428571,0.892857142857143,296.356501263411,0.624230693343553,0.556869154591857,0.211046115322232,42.2030235023188,0.374518843607715,0.426894150885511,0.421124825378244,0.50043971738909,0.429451124874603,0.360820659229901,0.529732723459549,0.616478974769429,0.71200106567095,0.299627457821233,0.318928618415883,0.428264376744833,0.413985274011656
"37","benjay","scout",7,15.1428571428571,7.71428571428571,15.2857142857143,239.703758914017,234.918650813003,1.49532710280374,0.990654205607477,271.152157633798,0.778537433192948,0.673060457043212,0.199487709233901,37.8531142690841,0.426590776038151,0.301537245193889,0.326809754495096,0.32280245772193,0.447130006044962,0.232117816456602,0.848999507699531,0.747876008701396,0.351292113155558,0.249590582944008,0.326997825531783,0.268399501561409,0.20269878170047
"38","benjay","soldier",10,19,5.3,18.5,267.611654391688,194.060111536745,1.31351351351351,1.02702702702703,219.604301608204,0.67913357783497,0.705537057512782,0.162856720283857,55.4354556418148,0.513400156730347,0.661948536809311,0.539675967300468,0.554520107236294,0.476821281505765,0.585517088569312,0.284792526238962,0.37106780685328,0.5852096524111,0.605599236783819,0.542532830247454,0.427735983910094,0.667017097699403
"39","berko","demoman",1,4,0,13,160.939597315436,11.6778523489933,0.307692307692308,0.307692307692308,400.536912751678,1.74496644295302,0.536912751677852,0,31.6641978139414,0.251250648424044,0.20220266291451,0.500130561713962,0.201889396887426,0.0062481500061881,0.0100638988438169,0.992719657568864,0.999938132716104,0.000482010653299845,0.0512451348222851,0.355191277607372,1,0.000435205713205289
"40","bill","scout",22,21.6818181818182,10.4545454545455,12.8636363636364,233.273325902387,184.568120133559,2.4982332155477,1.68551236749117,173.198183000803,0.489612310241813,0.916598106844234,0.490804811102535,56.6971080035792,0.458870151191269,0.747276665326535,0.533429616514384,0.632071235258582,0.369960764939717,0.642844117775084,0.2058595281045,0.289309783505477,0.727251715497638,0.620631675565884,0.535141804895448,0.449333827804526,0.641494677255737
"41","Bitler","demoman",29,15.8275862068966,7.06896551724138,13.5172413793103,302.198835272922,283.728842046035,1.69387755102041,1.17091836734694,253.86159859454,0.509239520926369,0.651249272659444,0.177621582531004,50.1242564797779,0.427475248602566,0.614171392229216,0.524450029180202,0.591731723031243,0.42851611318042,0.484768996371987,0.331720754583718,0.443704897270304,0.563250716208796,0.462332009047278,0.441084827895423,0.505889576784269,0.552186333295136
"42","blank","demoman",4,10,2.5,15.25,260.503477988996,256.862544800282,0.819672131147541,0.655737704918033,332.187214554292,0.888887538654493,0.537402828238847,0.15730143711575,30.3682842921989,0.280029263576045,0.250854846134687,0.329296821985688,0.289531802473341,0.226820883306231,0.126730236215428,0.781480786488446,0.887016328046133,0.459341533915946,0.186032408766587,0.331315857295487,0.439909620284512,0.12113898562332
"43","blank","soldier",12,15.3333333333333,6.08333333333333,19,285.497420567341,220.618823609521,1.12719298245614,0.807017543859649,274.269838464906,0.774862985233323,0.589721825277637,0.0935141282511469,50.944016686448,0.524016805542227,0.471517146195348,0.437475895735242,0.334676533655359,0.613525498936107,0.460458823182271,0.602303279350131,0.496911841111985,0.399326165315453,0.443607903516004,0.437908710122226,0.352187812252073,0.505862485177718
"44","boner activated","scout",8,26,9.25,14.5,268.784260578742,251.299919450538,2.43103448275862,1.79310344827586,221.396631038917,0.571172860037618,0.994737409549636,0.160184139711497,56.5293464064845,0.643827897904771,0.44204808766154,0.438799681533913,0.406764158468569,0.683280801484183,0.583841651213017,0.646035503276601,0.47825843371175,0.237378754879059,0.59885372706815,0.686191996346355,0.354381882193454,0.531542412922316
"45","Bonk","demoman",27,19.7407407407407,7.88888888888889,11.3333333333333,345.502597555045,321.737433311578,2.43790849673203,1.74183006535948,263.782159533312,0.42232824845297,0.811807261795848,0.170471144991465,58.894851680069,0.612429778627146,0.618637658106593,0.568223716146085,0.566043516471371,0.616987090114474,0.652040581114921,0.412594496097529,0.334473180468463,0.559651744685562,0.642209265352442,0.618564149223841,0.480993852879054,0.674918358377712
"46","Bonk","scout",6,23.1666666666667,11.8333333333333,14.5,216.326684119643,276.1723495921,2.41379310344828,1.59770114942529,195.687434034026,0.481971489036626,0.776667049917191,0.229044814074997,47.6973934696597,0.459222476877437,0.603393822083444,0.282423232670918,0.490808206411969,0.390283678859049,0.578921438541793,0.461510284126401,0.331702071706712,0.380279219814596,0.548676834967932,0.482265633000734,0.145730399634375,0.408154139792134
"47","Bread","demoman",6,19,7,10.5,282.962502677036,352.001320469567,2.47619047619048,1.80952380952381,264.143054755157,0.354606565364235,0.633116845981284,0.194296795929308,49.1167679725465,0.525852792901207,0.604927416008127,0.305549676638189,0.555919291651324,0.449138414662928,0.687290871941261,0.53423447602777,0.255910691955976,0.640301775726563,0.653357140443308,0.509415351434777,0.200911755152357,0.410187598124022
"48","Bread","scout",13,17.2307692307692,9.84615384615385,16.5384615384615,223.474653439159,177.446995762499,1.63720930232558,1.04186046511628,212.427631235517,0.645396286620851,0.689177323470757,0.347551991804642,43.3161917036466,0.365330398676755,0.485526246128163,0.418564061170836,0.512464107543068,0.369252797016608,0.365572476304594,0.504047024700323,0.537075917720222,0.57007822311211,0.355165184761108,0.357102603222392,0.45706574629012,0.38913332019359
