"","steam_id","nickname"
"329","[U:1:302931702]","hazel"
"330","[U:1:132728008]","sunbear"
"331","[U:1:340283657]","huffy"
"332","[U:1:121850563]","Pudon"
"333","[U:1:145967583]","Rockeyroad1415"
"334","[U:1:160676751]","kenji"
"335","[U:1:111099765]","rain"
"336","[U:1:78417314]","Hirast"
"337","[U:1:105849766]","garbo"
"338","[U:1:96884445]","para"
"339","[U:1:41625991]","TG"
"340","[U:1:70717968]","jae"
"341","[U:1:51840480]","ooloops"
"342","[U:1:164328761]","Z|Etrikarn"
"343","[U:1:109224635]","Gotaki"
"344","[U:1:161906589]","oblivious"
"345","[U:1:96363292]","Kir1to"
"346","[U:1:138360861]","lerl"
"347","[U:1:130414740]","boner activated"
"348","[U:1:404076371]","Ian"
"349","[U:1:300154449]","Clashe"
"350","[U:1:215669943]","Navedh_k1ng"
"351","[U:1:241715070]","ledraj"
"352","[U:1:178618060]","<U+5FC3><U+91CC>"
"353","[U:1:241494850]","saturn"
"354","[U:1:99435942]","Dajono"
"355","[U:1:133562945]","Jol"
"356","[U:1:171769009]","DubThink"
"357","[U:1:80846498]","crypto"
"358","[U:1:53247487]","234b203cdba76524f64536d4f7362835"
"359","[U:1:102433945]","Ghost"
"360","[U:1:97282856]","kai"
"361","[U:1:101528742]","a team of ants in their prime"
"362","[U:1:88031169]","space"
"363","[U:1:89352662]","Connor"
"364","[U:1:205890331]","Solres"
"365","[U:1:119246276]","suave"
"366","[U:1:164451558]","mix"
"367","[U:1:164506816]","rintincan -pt"
"368","[U:1:120765622]","Eddie"
"369","[U:1:164885727]","andre"
"370","[U:1:87477299]","RRLUCKY"
"371","[U:1:221396379]","sphilliz"
"372","[U:1:93402721]","Tohka"
"373","[U:1:229954190]","Andyroo"
"374","[U:1:114873466]","Smily"
"375","[U:1:155570850]","tiha_askr"
"376","[U:1:35381368]","darbs"
"377","[U:1:123215940]","Ahiru"
"378","[U:1:146508703]","LiAm"
"379","[U:1:250748528]","Rias Gremory"
"380","[U:1:19749670]","Lev"
"381","[U:1:50372069]","just jazz"
"382","[U:1:372734668]","zs"
"383","[U:1:84854265]","aino"
"384","[U:1:91618645]","tal"
"385","[U:1:71235035]","ozy"
"386","[U:1:320890290]","Lizrd-Wizrd"
"387","[U:1:83895420]","Astonnn"
"388","[U:1:65347904]","Silver"
"389","[U:1:186500157]","no`"
"390","[U:1:121699929]","Raelen"
"391","[U:1:212310661]","scvr"
"392","[U:1:94474828]","tanking"
"393","[U:1:369946335]","roymond"
"394","[U:1:139538004]","Vashta"
"395","[U:1:126688039]","BushMario!"
"396","[U:1:125220418]","bappo"
"397","[U:1:88231579]","cow5rkool"
"398","[U:1:301491836]","Poeyy"
"399","[U:1:122196021]","DeDstar"
"400","[U:1:207536163]","Steak"
"401","[U:1:93813475]","honk honk"
"402","[U:1:291867978]","cezyse"
"403","[U:1:89960071]","Exquizit"
"404","[U:1:1059335465]","eeur"
"405","[U:1:180084244]","Suwawa"
"406","[U:1:111899967]","Ghosty"
"407","[U:1:179178419]","L0RD 80T1CUS 0F 80TSW4N4"
"408","[U:1:103983562]","<user>"
"409","[U:1:66772767]","donkey"
"410","[U:1:5261589]","oLae!"
"411","[U:1:218779735]","kaos"
"412","[U:1:100801428]","ryan."
"413","[U:1:362587592]","hef"
"414","[U:1:853464216]","GuS"
"415","[U:1:180254062]","Fennex"
"416","[U:1:182868595]","horizon"
"417","[U:1:277768774]","Raina"
"418","[U:1:379506867]","Cobra"
"419","[U:1:231707323]","smazza"
"420","[U:1:249803609]","Mori"
"421","[U:1:192219544]","J5"
"422","[U:1:89104595]","Rogue"
"423","[U:1:155964866]","DAGREEKHUNTER"
"424","[U:1:83451105]","callum_"
"425","[U:1:176600983]","Skunde"
"426","[U:1:416118261]","paray"
"427","[U:1:103190760]","Custard"
"428","[U:1:136773030]","Wack"
"429","[U:1:321489509]","deceptive"
"430","[U:1:166427044]","sentar"
"431","[U:1:95252391]","chief"
"432","[U:1:116853945]","proxie"
"433","[U:1:66884512]","cool dad"
"434","[U:1:98883724]","tiMe"
"435","[U:1:314790759]","smokey."
"436","[U:1:120953395]","moomoo"
