"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes"
"163","Sessal",25,41.8675322730869,0.391824555584341,0.445768997365456,0.449523182436044,0.445459159801189,14,"demoman"
"164","Jäger al-Maslul",25,41.7886966190983,0.385584910417529,0.385361273755757,0.448942279212639,0.393426795958812,4,"medic"
"165","zildjian",27,41.5741743514985,0.385512993264737,0.372501190541278,0.579992022662148,0.289111391470662,8,"soldier"
"166","whiscash",26,41.4971458462215,0.403568646043603,0.337397904674603,0.424865490664317,0.384109122941311,12,"scout"
"167","trev",27,41.4582414435678,0.374276131069653,0.40866815048924,0.452396089579932,0.290335656133713,2,"scout"
"168","jacc",27,41.4066418128125,0.284065059652659,0.590927234326583,0.499697257348266,0.477206871401928,16,"soldier"
"169","butterflyy",25,41.351007995067,0.1,0.870231807261148,0.660950676500533,0.346199282517419,1,"medic"
"170","xander",25,41.1967567155048,0.342956971073762,0.509444003014492,0.451238575604222,0.497476902839057,16,"demoman"
"171","sporks",26,40.9301628968839,0.342934578648535,0.460695061974324,0.452004609636441,0.340248379352067,8,"scout"
"172","snazzy",27,40.6282984931538,0.323723872596584,0.323034635094277,0.438768773974571,0.266092924988854,12,"medic"
"173","Mack",25,40.5320942949626,0.346338879376415,0.739141165833245,0.267382552459631,0.32790654145511,2,"demoman"
"174","Johva",25,40.2459711212656,0.315071748527309,0.698964267994906,0.250694084433037,0.437873282709245,6,"soldier"
"175","weaponfire",25,40.2312379024639,0.320266679599275,0.503675100918577,0.453308425852063,0.417273315943951,14,"scout"
"176","kpc",26,40.188487399793,0.24821684390501,0.607838382706516,0.548298423225723,0.494574647783961,8,"soldier"
"177","gunky",25,40.1152875783954,0.388868363069775,0.477911001098896,0.293030082123465,0.437516508961159,14,"scout"
"178","moosepi",25,40.0396335400141,0.338732878951345,0.481797186304533,0.340473274753634,0.579771731115198,16,"scout"
"179","tonberry",26,39.9054407910483,0.392903274867493,0.369175602766555,0.435395896596713,0.451254218374022,5,"soldier"
"180","blank",25,39.7796716189497,0.428234098382788,0.276673125340905,0.407947939715559,0.350509590734486,8,"soldier"
"181","Calski",27,39.1725220045545,0.351912469163795,0.280205970906071,0.493159605338202,0.382302421656751,2,"scout"
