"","nickname","ranking_points","career_avg","n","total_rank_weight","total_rank_contr","classes","impact","survive","efficiency","objective","rank","prev_ranking_points","prev_games","prev_rank","rank_change","peak_rank"
"57","feggie",30.9599789228821,47.1878965445543,6,6,283.127379267326,"soldier",0.294732333737467,0.674546048934208,0.562896956669617,0.487300567090513,57,27.2117307029506,4,60,3,56
"58","rem",30.4298297595397,51.533183897339,5,5,257.665919486695,"medic",0.681689869751274,0.610247056470553,0.635355193726254,0.419729335243956,58,30.4298297595397,5,52,-6,44
"59","seraph",30.1995171713998,51.1431475069854,5,5,255.715737534927,"soldier",0.431765906037658,0.548273852204476,0.640168733679273,0.497266366932773,59,30.1995171713998,5,53,-6,45
"60","L0RD 80T1CUS 0F 80TSW4N4",27.5140632322763,51.772564089478,4,4,207.090256357912,"medic",0.647730987980443,0.716828961280062,0.624836978127985,0.445949689279393,60,27.5140632322763,4,57,-3,55
"61","bill",27.4242886269805,51.6036373312946,4,4,206.414549325178,"scout",0.359166500814043,0.841837644683024,0.457955994327794,0.529809192628406,61,27.4242886269805,4,58,-3,53
"62","beni",27.4070791024247,51.571254574684,4,4,206.285018298736,"scout",0.460450858207855,0.680127438174134,0.359676173440654,0.540327731186098,62,14.8745626537231,2,89,27,62
"63","disturbed",27.4006749779295,41.947836515018,6,5.86606598307361,244.984251488018,"scout",0.433651958263442,0.294802947454882,0.489268900027321,0.28244742204295,63,27.5219755375033,6,56,-7,44
"64","Charlie",27.257089304541,41.3842680374968,6,4.55443492159596,189.209936579273,"scout",0.315299280843503,0.645328436827408,0.335464110030592,0.427867935240881,64,27.257089304541,6,59,-5,37
"65","Poeyy",26.3263129789176,49.4318237854303,4,3.74110112659225,185.325180301198,"medic",0.572881296274855,0.641122823085948,0.680197382565836,0.386118831491692,65,26.298239155521,4,61,-4,44
"66","melons",26.0749127292199,60.5735166895055,2,1.62450479271247,98.4019681735506,"soldier",0.584481497601463,0.60884852733322,0.451088529088184,0.594165619532079,66,26.0749127292199,2,62,-4,39
"67","Michael",25.4164888063778,47.8256077464438,4,4,191.302430985775,"medic",0.556402764503716,0.59256742648553,0.542414125123416,0.515401077980546,67,21.3213619971258,2,74,7,67
"68","jacc",24.6503578112948,37.6225904384666,6,5.86606598307361,220.394185989071,"scout",0.322744096897594,0.443293214764529,0.439354970871361,0.260708544519818,68,24.6841815866779,6,65,-3,48
"69","krollic",23.9360761534458,45.0399501608753,4,4,180.159800643501,"medic",0.503529505974379,0.507092958930924,0.497290186334459,0.47595112608191,69,23.9360761534458,4,66,-3,66
"70","kcaj",23.8004507762101,44.784747086149,4,4,179.138988344596,"scout",0.299502040452645,0.695027778217839,0.452937121539578,0.491708189073796,70,23.8004507762101,4,67,-3,67
"71","MY AUDIO GOT HACKED PART IIII",23.7909757709646,44.9727736245231,4,2.92993012888349,131.163942388499,"scout",0.339588636025886,0.672322540700996,0.44671889913945,0.366771949376154,71,23.7909757709646,4,68,-3,22
