"","nickname","ranking_points","career_avg","n","total_rank_weight","total_rank_contr","classes","impact","survive","efficiency","objective","rank","prev_ranking_points","prev_games","prev_rank","rank_change","peak_rank"
"44","kai",21.0782064580637,53.8753708510875,11,10.2847641256692,559.558381057494,"scout",0.489689872603174,0.612033942030668,0.619634816016225,0.537037979859206,44,16.3653421172242,9,53,9,44
"45","Rei",20.7160479653688,48.4456586007576,12,9.85660514932225,474.344852071453,"scout",0.510547709800254,0.470088092583924,0.486600824275358,0.389101211932544,45,20.7408051094343,12,45,0,21
"46","kELlEr",20.4576408469659,47.4821103414518,12,9.48110994203472,450.582849329556,"medic",0.491620037265973,0.52260493128455,0.529678879605469,0.379089424405939,46,20.4576408469659,12,46,0,27
"47","Bonk",20.4051500518134,47.4023330413793,12,12,568.827996496551,"demoman",0.501458198557796,0.384399757044683,0.496617539533894,0.395964575858815,47,17.4922344792447,10,50,3,47
"48","Raina",20.3833642903947,47.3517234690064,12,12,568.220681628076,"medic",0.489935921575084,0.502032810052171,0.482399141758385,0.494641434368441,48,16.3098890867717,10,54,6,48
"49","Dip",20.2696309362194,37.9354699690756,14,11.4811099420347,437.899712786938,"soldier",0.305350367210091,0.444112373765811,0.447468891826192,0.36350124568382,49,20.2743243475328,14,47,-2,47
"50","samson",19.9032167656821,46.5540658216549,12,11,508.599445756862,"soldier",0.408313606572106,0.492704414502699,0.573890337748337,0.404737233331612,50,25.0719740390088,14,37,-13,24
"51","Toqoz",19.8702838770463,46.1598082628553,12,12,553.917699154264,"medic",0.475950782354283,0.484358882430492,0.454076356816088,0.395370588428452,51,16.2374837774745,10,55,4,51
"52","smazza",19.5984095808453,45.5282286909734,12,12,546.33874429168,"scout",0.48905423910364,0.539297800054298,0.285252331447817,0.474190787926597,52,16.107290096962,10,56,4,52
"53","nurf",19.5829559599546,45.4923290439582,12,12,545.907948527498,"scout",0.361756065349743,0.717910255399389,0.479558556891138,0.360946527875159,53,15.9883674216126,10,57,4,53
"54","rintincan -pt",19.3139960101468,55.391999587378,10,10,553.91999587378,"soldier",0.527718826782661,0.547078177736419,0.632459778915603,0.510963033231739,54,15.2917536751326,8,60,6,54
"55","phantasm",19.2967181584242,36.2026563670504,14,11.4811099420347,416.881164037637,"demoman",0.358264082194637,0.340284355323424,0.273414573227974,0.373520320189958,55,19.3784075116159,14,48,-7,28
"56","mix",19.286811411372,44.8043682848039,12,12,537.652419417647,"soldier",0.372842695645803,0.648676994942616,0.380398028159294,0.473184290438168,56,14.8790779601353,10,62,6,56
"57","tal",18.8073099744281,43.6904589653369,12,12,524.285507584043,"medic",0.405115426376512,0.438200122417778,0.430857998379552,0.347181516616828,57,14.9407467716084,10,61,4,57
"58","ozy",18.6479532550355,43.3202641730494,12,12,519.843170076593,"soldier",0.369622161535507,0.483240851497915,0.532769616059779,0.34474916077808,58,14.7821796401703,10,64,6,58
"59","Cobra",18.2402943104035,42.3732490806987,12,12,508.478988968385,"demoman",0.322023568686767,0.586117403301411,0.399359259626695,0.512570056945263,59,14.3423199500516,10,67,8,59
"60","davi",17.9249001552767,46.2673004247761,11,11,508.940304672537,"scout",0.51893256057137,0.461075357176639,0.385733445877171,0.3605257906866,60,14.7414930500715,9,65,5,60
"61","lunar",17.8654307535092,41.50241955365,12,12,498.0290346438,"scout",0.463682803065852,0.400212527490685,0.357307806995596,0.298009476480268,61,13.3857309204498,10,71,10,25
"62","DBZWARRIORHD",17.7043303224215,41.1281740191582,12,12,493.538088229898,"scout",0.463332438584252,0.403653687579691,0.284956779587234,0.396947709612239,62,14.0977840821098,10,68,6,32
"63","camille",17.1659354914946,39.8774519701386,12,12,478.529423641664,"scout",0.319585700901713,0.566326308774467,0.421674076810556,0.381105701355365,63,13.6598778485065,10,70,7,63
"64","Spartan",17.1645336017325,39.8741952998755,12,12,478.490343598506,"soldier",0.298628661481848,0.470498301824485,0.559572118918231,0.323951047275603,64,13.6947821736195,10,69,5,64
"65","durc",15.9915258745673,37.1492311216162,12,12,445.790773459394,"soldier",0.363961104311181,0.447324281001691,0.25797009613968,0.36036348365407,65,12.4332552920241,10,76,11,6
"66","Tesla",15.9677064744128,37.0938972899068,12,12,445.126767478882,"soldier",0.316286918363402,0.446735725193544,0.351960957582953,0.406112516744751,66,13.3308728527528,10,72,6,57
"67","Calski",15.7860652992371,36.1420341256132,12,9.6105593787386,352.43780336942,"scout",0.281176507955271,0.513820747468755,0.368283125479157,0.379375541579963,67,15.800031396989,12,59,-8,48
"68","adam",15.6395725119075,44.8538559121182,10,10,448.538559121182,"soldier",0.454449651932776,0.515934573452373,0.327519178525468,0.441594720972145,68,12.7390724530099,8,75,7,68
"69","Moop",15.6184209252329,36.2824869407193,12,12,435.389843288632,"demoman",0.351641875895374,0.365429593452491,0.29242644513687,0.327391361195797,69,12.2737373090424,10,79,10,9
"70","myyyst",14.867191578923,45.9618019770607,9,7.61814682161442,360.919770347151,"scout",0.499927912623314,0.409437064086981,0.465345531155793,0.41491070641686,70,16.4809597045796,10,52,-18,52
"71","zs",14.648526560519,42.0115638819477,10,10,420.115638819477,"scout",0.406255127840098,0.517191161513558,0.385134814088831,0.350816392056368,71,11.8181675201787,8,81,10,71
"72","Sky",14.4079812635956,33.24382727582,12,9.48110994203472,317.338118280661,"scout",0.292504541612693,0.395004353816317,0.294364934280368,0.393534715713417,72,14.4079812635956,12,66,-6,58
"73","sao",13.8020465436665,40.6702659878111,10,8.67103125547574,343.233085863696,"demoman",0.444369467558891,0.335735592632431,0.301888141959375,0.402970714426382,73,17.5439695839359,12,49,-24,41
"74","ceekay",13.2183076082349,56.712876563336,6,4.5997874562196,265.777668125961,"scout",0.516446767693216,0.62877605632796,0.68538741386103,0.572363104510308,74,13.2183076082349,6,73,-1,22
"75","L0RD 80T1CUS 0F 80TSW4N4",13.2159330016294,46.7937354084724,8,8,374.349883267779,"medic",0.488114564985635,0.535861643265517,0.478991050576055,0.320632193537161,75,10.6905722461195,6,83,8,75
"76","Halfwrong",12.8784453792,45.7506269779317,8,5.87394283236886,267.844690997093,"medic",0.491735582565222,0.439658224451771,0.44634180653607,0.331651190564036,76,12.8784453792,8,74,-2,15
"77","Dave",12.4924423193425,54.5613677822771,6,3.8449766102458,209.964524604061,"medic",0.667825170793104,0.644780929328827,0.644296333708475,0.575787725118988,77,14.8211963747384,8,63,-14,14
"78","micro stiffy",12.4108658062773,39.548906126541,9,9,355.940155138869,"scout",0.365732423005457,0.391023002629667,0.429953348523283,0.44874863271285,78,12.4108658062773,9,77,-1,75
"79","Sam.",12.4014663400478,40.1238945263024,9,5.0671884375507,200.249984002905,"scout",0.487212770451392,0.384005596768785,0.213310678297583,0.351095821660143,79,16.558858122372,11,51,-28,2
"80","Vanquish",12.118232931579,43.435912948941,8,5.24943803965639,225.238173446944,"scout",0.335037297939246,0.657764054759567,0.435733514725427,0.479209588492243,80,15.8872847217306,10,58,-22,27
"81","Gooseman",10.0888276363221,44.1007088567361,6,6,264.604253140417,"demoman",0.424392375370468,0.456640002938531,0.459213657405854,0.336329963843389,81,12.1139400449135,8,80,-1,31
"82","v4na",10.0828121734483,44.2463118877562,6,4.07177346253629,179.461028535412,"medic",0.426943336514367,0.38332151994412,0.438946375915458,0.453429072694332,82,12.3476856239042,8,78,-4,1
"83","Spade",9.74731885378898,53.015018918483,4,2.07177346253629,108.980121499228,"soldier",0.599435012069894,0.454129665864016,0.431940797418696,0.489423412549314,83,10.7395827236556,6,82,-1,15
"84","SPACCEE",9.71935908310751,35.0871097394758,8,6.45972926999576,222.301212320166,"soldier",0.383171670920552,0.241789228426039,0.345698544310787,0.283131560865456,84,9.76706805894572,8,85,1,29
"85","krollic",9.31550784810362,50.7128312256456,4,2.07177346253629,104.152248668742,"scout",0.588327125776913,0.353833072545689,0.476081877337092,0.530009604512625,85,10.1772843517612,6,84,-1,2
"86","Yui",9.23568411873254,61.5324065410963,2,2,123.064813082193,"scout",0.702409099260282,0.524899692759141,0.56376925319651,0.616816004544995,86,9.23568411873254,2,86,0,5
"87","Geoh",9.22874232429311,61.4861570903702,2,1.74110112659225,107.053617379871,"scout",0.714285591936942,0.422296544002223,0.544419212244617,0.725480391264672,87,9.22874232429311,2,87,0,1
"88","signedunknown",8.13627007092687,60.2306675446406,1,1,60.2306675446406,"scout",0.619070168115813,0.586944150581283,0.567779990264065,0.760065298068688,88,8.13627007092687,1,91,3,35
"89","arandomdeaddude",7.60777884686597,50.6865474026577,2,1,50.6865474026577,"soldier",0.503407533591387,0.393229194159688,0.694945290110114,0.32055888400503,89,7.60777884686597,2,93,4,49
"90","D-Fault",7.3721126220079,43.9766350698549,3,2.5,110.511967111255,"medic",0.433667219895293,0.44273493832922,0.412248244323279,0.295283536773112,90,9.00306118364617,5,89,-1,50
"91","ohai",7.29608969042222,54.0110331501864,1,0.933032991536807,50.3940758361121,"scout",0.680345221434733,0.263048950745941,0.599650914935443,0.362448175667238,91,7.29608969042222,1,95,4,8
"92","Michael",6.70878025863211,44.6970022969651,2,1,44.6970022969651,"medic",0.417775595033279,0.472708582878678,0.422243701195772,0.452660906008793,92,9.09418958593829,4,88,-4,27
"93","Rising",6.65268578987945,44.323274957266,2,1.4142135623731,62.6825765733573,"medic",0.430578172143962,0.445670607664172,0.468843800084971,0.267627149014342,93,8.59659711714407,4,90,-3,23
"94","DeDstar",6.513549165746,43.396282304543,2,2,86.792564609086,"scout",0.480464399081533,0.279641823036201,0.570962681852767,0.233557355526057,94,6.513549165746,2,97,3,91
"95","Sean",6.41054272512708,42.7100056737021,2,2,85.4200113474042,"soldier",0.44430027802716,0.397250264674175,0.416755523585152,0.325853006162006,95,6.41054272512708,2,98,3,19
"96","Luggnuts",5.64866027902351,37.6339918335272,2,1,37.6339918335272,"scout",0.423203769955724,0.249496635264629,0.402861202002533,0.290719076273834,96,6.20042501369376,4,99,3,34
"97","iven",5.48796128260548,36.5633406666814,2,2,73.1266813333628,"soldier",0.406002708172282,0.259798021456575,0.336993361801504,0.305566368758568,97,5.48796128260548,2,101,4,17
"98","Mack",5.36695454856656,35.7571377414438,2,2,71.5142754828875,"medic",0.245355415103801,0.222694715660059,0.222791669799451,0.254659170127584,98,5.36695454856656,2,102,4,34
"99","drat",5.3574653743731,35.6939164665815,2,1,35.6939164665815,"demoman",0.312883571370776,0.402242878593386,0.354777053574581,0.273360737205894,99,6.11714152974633,4,100,1,54
"100","melons",5.02376666277235,33.4706610454903,2,2,66.9413220909807,"soldier",0.321110130583134,0.38612329812074,0.24341532001409,0.339399162265387,100,5.02376666277235,2,103,3,62
"101","dutchman",4.80887123353605,35.5988090374562,1,0.933032991536807,33.2148632913653,"medic",0.1,0.306114942394217,0.413015528434923,0.399452763711127,101,4.80887123353605,1,104,3,84
"102","Phantom",4.80060144102312,35.537589938389,1,0.5,17.7687949691945,"demoman",0.371894346945453,0.200394368486692,0.398634767706462,0.259111410971897,102,7.28670888708473,3,96,-6,46
"103","HERTZ",4.15493297700331,27.6820884955798,2,1,27.6820884955798,"soldier",0.262063046965237,0.375408401998006,0.108585481648352,0.317167269264426,103,7.90634068319637,4,92,-11,5
"104","b1",3.96310419650708,23.7363433361223,3,2.55753778424928,60.7763884091182,"scout",0.198656089571572,0.265467396696109,0.1873420468991,0.29567499251524,104,3.96310419650708,3,105,1,86
