"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes"
"107","emgee",21,63.1961768718365,0.663882791469699,0.563121415907754,0.491228520957023,0.555354801326866,15,"soldier"
"108","deft",25,63.0416939782446,0.560425746520305,0.692372193980799,0.566499664501199,0.545018266668565,17,"demoman"
"109","deft",24,62.8908222462545,0.573609550543192,0.689240017982138,0.521379129935293,0.551585111587913,13,"demoman"
"110","yewl",19,62.8671251211754,0.626979609567273,0.510374255093736,0.561477075148465,0.533209937906776,22,"soldier"
"111","ckm",15,62.7877199368893,0.664989176795371,0.463801211194331,0.540593399462723,0.61677514030425,16,"soldier"
"112","enrith",19,62.6959667740693,0.59749325665466,0.573214501805791,0.593274028486608,0.558207715981158,20,"demoman"
"113","Raze",27,62.6855053237784,0.536066504147036,0.745824774749146,0.57775806262889,0.638123169332524,20,"scout"
"114","pause",20,62.6453902316947,0.516469528456837,0.670633493936476,0.710635814464041,0.62383355667918,15,"soldier"
"115","pr1med",14,62.6319622826059,0.509467363047484,0.679084488114979,0.651670715772758,0.635524498929983,8,"soldier"
"116","cooki",15,62.6269524953372,0.682350385661794,0.421147738563306,0.615238444052957,0.544536186149729,16,"scout"
"117","Elmo.",27,62.6183324032921,0.577170400569202,0.630021639801138,0.58499693215242,0.624122680024946,22,"scout"
"118","Elmo.",17,62.5998475438722,0.652350951383618,0.515969388238447,0.76697542052179,0.677442274006894,15,"scout"
"119","aclaivi",15,62.5959846266621,0.592537162844874,0.558345819117736,0.718559456267307,0.533310490347087,14,"scout"
"120","Yui",14,62.4347252153677,0.635107464363378,0.54473229284118,0.628380376632304,0.431271843951228,8,"scout"
"121","teejay",21,62.273664500749,0.606717076592936,0.622303273121039,0.570732592445151,0.606432363918078,14,"scout"
"122","Zaka",16,62.2612743530662,0.554156935637262,0.573822496293984,0.637988028354985,0.64543683017867,13,"soldier"
"123","Sam.",23,62.178900725405,0.610772368202294,0.472525283553124,0.736144353638924,0.544836459279367,17,"scout"
"124","HERTZ",28,62.125589619396,0.605426029210774,0.531735867457462,0.438860297299972,0.655071673936682,12,"soldier"
"125","lock",23,62.12003031149,0.681067742931816,0.702407847162434,0.65613686455039,0.70366666650323,5,"medic"
"126","matttt",20,62.0367209843452,0.63037091378855,0.5388515822765,0.547494381836469,0.594655826256925,19,"soldier"
"127","Doge.exe has stopped working",23,62.0296795931836,0.609488292585667,0.579410394075766,0.626229459977694,0.548524534211472,16,"demoman"
"128","silvo",28,62.0111420892278,0.580484348874518,0.517805398939026,0.609206436634545,0.558599288887377,19,"soldier"
"129","Doge.exe has stopped working",22,62.0072290545186,0.586368580170114,0.660133999036384,0.541503174495637,0.573889978278473,16,"demoman"
"130","Elmo.",26,61.9860877686284,0.597600276698626,0.505944312028098,0.581121441943143,0.553208837045531,16,"scout"
"131","riot",24,61.9517205323685,0.519198837654275,0.681822054235221,0.575224813943368,0.573576470339646,16,"soldier"
"132","dubious",16,61.8884176377264,0.705802030337894,0.411562617428144,0.466046289348347,0.539860834553854,10,"soldier"
"133","Madness",20,61.8579112743428,0.589072879480685,0.606017113834646,0.670289534489453,0.521047513725547,10,"scout"
"134","redcoat",29,61.8499229716684,0.603086761590257,0.571697821974762,0.643936724174459,0.651380455606996,8,"demoman"
"135","render",15,61.8179253777219,0.675048302251112,0.455785221445855,0.492486667871735,0.569361376148154,16,"soldier"
"136","Yui",15,61.8060773138061,0.697478801264227,0.352715895632211,0.611047218314988,0.552978385928656,16,"scout"
"137","Sam.",16,61.75559139626,0.649853407354515,0.431225045761025,0.655520731694339,0.494666531415271,14,"scout"
"138","Yui",16,61.7239052974146,0.61095199060111,0.541530544869482,0.567547745650004,0.6413464430555,11,"scout"
"139","enrith",20,61.7019821306378,0.603233054658122,0.594764972551782,0.560222145570457,0.636061299792361,11,"demoman"
"140","lau",28,61.6449246652154,0.563388139985525,0.63220015964363,0.597316459570262,0.645147229260538,20,"scout"
"141","redcoat",22,61.5692000200785,0.585250492598452,0.665491954915257,0.486071240883414,0.638825376512626,19,"demoman"
"142","lau",27,61.5677300581615,0.726177659071252,0.672432554643888,0.63511575166227,0.6418948709313,24,"medic"
"143","down",29,61.5667155170833,0.590542501011778,0.55009150999919,0.658883504214312,0.727550514354105,10,"scout"
"144","heebs",21,61.5281177665624,0.570789983543409,0.59124518318427,0.614506675916608,0.686876372205046,2,"scout"
"145","Sam.",26,61.5189408295843,0.662185802208883,0.398830508997339,0.536272356346979,0.546538694753249,16,"scout"
"146","deft",27,61.3956145157643,0.598485634315361,0.555137978836801,0.592630142123651,0.508442924002299,18,"demoman"
"147","enrith",28,61.3645082291345,0.544968765743867,0.669077811489683,0.513512091761528,0.532767556603935,19,"demoman"
"148","lau",22,61.3157675762505,0.688053006927732,0.591354942246214,0.615184823512945,0.728866633267499,8,"medic"
"149","riot",29,61.2565422434624,0.617977963631143,0.577144487444276,0.488509590379767,0.717734787821413,8,"soldier"
"150","krollic",15,61.2431495580407,0.732689342380897,0.329459892932381,0.536823045215337,0.387947807255377,6,"soldier"
"151","HERTZ",23,61.2228411577492,0.542206525367128,0.525161337538051,0.664125970825532,0.739084426217315,14,"soldier"
"152","b4ne",16,61.1020472972041,0.519610574789387,0.545381309894943,0.685660599604636,0.668540093641916,9,"soldier"
"153","heebs",26,61.0959429431954,0.541442633783501,0.648653444578609,0.48890649616386,0.710940338938453,2,"scout"
"154","Paulsen",21,61.0868613317376,0.610870548535517,0.496754653323197,0.517920656404141,0.708843645926107,17,"soldier"
"155","Madness",15,61.0343393619995,0.569877140438071,0.581841518734777,0.613074722308619,0.642010255516111,24,"scout"
"156","ohai",18,61.0216403081151,0.68259674894664,0.379118698821549,0.614216778844089,0.589754445961428,14,"scout"
"157","feyn",26,60.8758959397684,0.565734918872896,0.597820895071943,0.478532783118985,0.577378494793793,19,"soldier"
"158","riot",19,60.8395694401481,0.484832745335971,0.649213874697698,0.734737844683948,0.494289468949219,4,"scout"
"159","down",24,60.7610995118059,0.582031577462673,0.628322221257869,0.467683326122266,0.592689262536057,20,"scout"
"160","Madness",22,60.6989081819958,0.552213473940077,0.727514136194759,0.484851227241989,0.649115785410446,15,"scout"
"161","v4na",25,60.66485828629,0.554980237795678,0.530647924562637,0.633434374475849,0.596718835928121,15,"scout"
"162","jiho",16,60.6046962139798,0.503303836524245,0.65642545880042,0.648594026489718,0.55442442509316,16,"soldier"
"163","benjay",29,60.5538335652461,0.546839568119919,0.693378178536452,0.567178199208425,0.61337088433768,8,"soldier"
"164","yuki",14,60.5064138788041,0.594382976203854,0.495878184658479,0.627435386471457,0.528690023518,18,"scout"
"165","pause",18,60.4991846226564,0.513048381746431,0.663255330840857,0.699126149398634,0.523514096498418,10,"soldier"
"166","yukari",16,60.4588107985931,0.493781413179883,0.824053115007603,0.534507664723101,0.552138613482705,2,"demoman"
"167","Doge.exe has stopped working",24,60.3155900541903,0.665672687494392,0.659272865797225,0.565713280520901,0.610808098611604,16,"medic"
"168","Raze",22,60.2696225070291,0.611755360366671,0.432163859570056,0.673166065582445,0.527175717170364,6,"scout"
"169","feyn",28,60.2257712117035,0.470219294704548,0.673789736779945,0.575053839877957,0.61836799656973,18,"soldier"
"170","Paulsen",16,60.2163955413822,0.57075320984358,0.544934018112643,0.542219400978711,0.674391723859756,13,"demoman"
"171","krollic",27,60.1908852222143,0.681869648594116,0.442318712439332,0.405519255257881,0.624987096503786,20,"scout"
"172","redcoat",27,60.1453835623759,0.604349872948148,0.54445275596271,0.484432126085991,0.585690491006538,22,"demoman"
"173","Yui",18,60.1071241309237,0.625719743566602,0.474170858091991,0.66015950991143,0.490900284466389,3,"scout"
"174","Doge.exe has stopped working",29,60.0007917598228,0.714193286125177,0.699477778023212,0.749217705745837,0.751090765226706,2,"medic"
"175","krollic",26,59.9548152257237,0.617243290567081,0.530493300689813,0.431023301135246,0.591222211753074,17,"scout"
"176","lock",26,59.9168779989988,0.625710673344482,0.771406049701817,0.660654782303753,0.549978335326727,25,"medic"
"177","redcoat",20,59.9133664121823,0.548805290205259,0.602542421604271,0.578878933705956,0.658549014821344,21,"demoman"
"178","Sam.",17,59.8497484976777,0.727433764142606,0.357229424279454,0.661044531448525,0.504761023117448,5,"scout"
"179","Doge.exe has stopped working",25,59.8067184124547,0.61170136540038,0.456558962709516,0.542054091755834,0.494499718270234,14,"soldier"
"180","pause",16,59.8065789665777,0.495590723150331,0.643134031045186,0.681921975538261,0.47638033062918,12,"soldier"
"181","krollic",25,59.7243731035764,0.585881852241811,0.439216111824551,0.583353684656837,0.527967257029708,19,"soldier"
"182","down",27,59.690693806171,0.534420275850435,0.563708922401822,0.584483465383223,0.626235414554145,25,"soldier"
"183","AiShou",24,59.6864075363656,0.635186736683353,0.357620650528762,0.654541682370191,0.409662010271872,2,"scout"
"184","v4na",26,59.6759506133355,0.623488695646481,0.670749516695632,0.682172436544184,0.613960754475082,21,"medic"
"185","namey",15,59.6343396049145,0.572600441014495,0.536399771642226,0.600484344820358,0.606390732215312,20,"scout"
"186","enrith",26,59.6256921639867,0.54648250606123,0.624913605990818,0.489947143509997,0.552288451581873,27,"demoman"
"187","hsr",19,59.6155237710203,0.539039750163206,0.646828479773247,0.503646000828891,0.520844999350408,15,"soldier"
"188","teejay",17,59.6123745164566,0.562871056546397,0.714863059897892,0.645815687800805,0.614573827686043,6,"scout"
"189","deft",18,59.5609826452963,0.560435577915063,0.606094321370959,0.613377634017991,0.538476133847022,13,"demoman"
