"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes","div"
"89","termo",15,65.9747839286236,0.668528573207494,0.528752701486729,0.700998326327728,0.574594924773872,22,"demoman","prem"
"90","enrith",24,65.921526190531,0.615436433008142,0.654900756986647,0.570380325190443,0.586119104930548,20,"demoman","prem"
"91","Paulsen",19,65.9162989201817,0.65116561792528,0.549599435039838,0.568544189645649,0.703775366392891,16,"demoman","prem"
"92","deft",23,65.838844599643,0.661314563247893,0.643629446944743,0.611355898014658,0.56896120217125,9,"demoman","prem"
"93","cooki",29,65.7914783122734,0.715542553255517,0.538498513930796,0.581463273852656,0.725176505704193,10,"scout","prem"
"94","b4ne",17,65.7549747871346,0.587387734186964,0.721985283792337,0.798555088055725,0.738097713722845,4,"soldier","prem"
"95","kai",29,65.7296279438526,0.659908495244142,0.671998604887323,0.702713101836014,0.683238463655893,8,"demoman","inter"
"96","teejay",26,65.7187888428427,0.672290008034881,0.587344094595759,0.463302814897366,0.60647967558495,21,"scout","prem"
"97","Yui",20,65.7086154357993,0.783759210816343,0.21910793360496,0.707513144187954,0.65276664810629,2,"scout","prem"
"98","Elmo.",15,65.6886651218267,0.645345861236317,0.530029742771871,0.725533967383682,0.632163092374095,24,"scout","prem"
"99","teejay",16,65.6034787569415,0.652479827458033,0.572464641038804,0.652199727210703,0.589701025849195,15,"scout","prem"
"100","riot",25,65.4586029957609,0.588007221764483,0.574431448193434,0.619591581395061,0.660354771233902,17,"soldier","prem"
"101","AiShou",22,65.4378663568051,0.637537323945741,0.61132385630105,0.631899273991643,0.583597967588615,14,"scout","prem"
"102","v4na",23,65.3718814684763,0.682152347394013,0.562723416815605,0.592160718494607,0.55539078383367,17,"soldier","prem"
"103","Mercyless",16,65.3598534648883,0.710541851125709,0.427576725127778,0.585836563608185,0.557449492634022,17,"soldier","prem"
"104","Roro",16,65.3518164440255,0.696689107783317,0.507787355497928,0.593545843010209,0.450102667951378,10,"soldier","prem"
"105","dubious",19,65.2583758932459,0.636130068487925,0.539297217006258,0.567804751654155,0.633767573755152,4,"soldier","prem"
"106","Raze",26,65.2369228837919,0.683191759206598,0.475640278210708,0.549503387692347,0.433313890084079,2,"soldier","prem"
"107","scandal",28,65.1079477907637,0.509497067289452,0.677181961627934,0.662419963004388,0.610382141525466,22,"soldier","inter"
"108","yewl",29,65.0935981850413,0.646451460689466,0.660619082905193,0.560160607769967,0.694704224603378,10,"soldier","prem"
"109","cooki",22,64.9695471032624,0.586945729116254,0.58537508042511,0.731923046848204,0.646621800593125,19,"scout","prem"
"110","Vanquish",26,64.9096429396355,0.596174835822855,0.543989898195935,0.682574785313026,0.665586619641361,18,"soldier","inter"
"111","pr1med",15,64.9044958036558,0.617446786302985,0.716824378324342,0.758747100865471,0.733215027390082,5,"medic","prem"
"112","feyn",29,64.886591920647,0.619385377736894,0.574032659436882,0.700164310749055,0.685930520925285,8,"soldier","prem"
