"","name","class_primary","total_mins_played","season","kills_per_minute","kills_per_death","ka_d","damage_per_minute","heals_per_minute","damage_per_heal","caps_per_minute","deaths_per_minute","dt_per_minute","dt_per_heal","damage_per_dt","ubers_per_minute","healing_per_minute","drops_per_minute","drops_per_uber"
"70","Sean","medic",614.216666666667,26,0.0374460695194421,0.092,1.3,8.25604428404743,0,Inf,0.224676417116653,0.407022494776545,147.755677963802,Inf,0.0558763250104679,0.426559574525819,1059.92890673758,0.017908989770168,0.0419847328244275
"71","snazzy","medic",382.083333333333,26,0.0314067611777535,0.058252427184466,1.01456310679612,19.6763358778626,2.22202835332606,8.85512367491166,0.146564885496183,0.539149400218103,171.19040348964,77.0424028268551,0.114938311241572,0.348091603053435,931.414612868048,0.0287895310796074,0.0827067669172932
"72","v4na","medic",746.45,26,0.0401902337731931,0.135135135135135,2.29279279279279,19.0890213678076,0.085739165382812,222.640625,0.250519123852904,0.297407729921629,134.882443566213,1573.171875,0.141523395210711,0.464867037309934,1142.25467211468,0.0120570701319579,0.0259365994236311
"73","bird","medic",406.95,25,0.0294876520457059,0.0710059171597633,1.57988165680473,11.7213416881681,5.07924806487283,2.30769230769231,0.154810173239956,0.415284432977024,147.698734488266,29.0788582486696,0.0793597976907463,0.464430519719867,1136.69001105787,0.0368595650571323,0.0793650793650794
"74","Bunneez","medic",391.533333333333,25,0.0332027924399796,0.118181818181818,1.84545454545455,9.1333219819513,0.160905840286055,56.7619047619048,0.117486804018389,0.280946705261366,116.544355525285,724.301587301587,0.0783677762924328,0.411203814064362,1062.98484590499,0.015324365741529,0.0372670807453416
"75","D-Fault","medic",231.9,25,0.0344976282880552,0.10126582278481,1.43037974683544,13.6394997843898,0,Inf,0.155239327296248,0.340664079344545,125.817162570073,Inf,0.108407307125476,0.422595946528676,1035.49374730487,0.0129366106080207,0.0306122448979592
"76","dogroll","medic",537.8,25,0.0539233915953886,0.176829268292683,1.92682926829268,18.8583116400149,0.139457047229453,135.226666666667,0.184083302342878,0.304946076608405,124.371513573819,891.826666666667,0.151628866595901,0.405355150613611,1083.49200446263,0.0223131275567125,0.055045871559633
"77","emgee","medic",425.75,25,0.0422783323546682,0.109756097560976,1.43292682926829,17.6277157956547,6.01291837933059,2.931640625,0.248972401644157,0.385202583675866,156.354668232531,26.003125,0.112741857949766,0.427480916030534,1067.34703464474,0.0328831473869642,0.0769230769230769
"78","Eternal","medic",162.416666666667,25,0.043099025141098,0.0843373493975904,0.91566265060241,18.6434068753207,0,Inf,0.110826064648538,0.511031298101591,159.749615187276,Inf,0.116703923533493,0.301693175987686,971.205746536686,0.0184710107747563,0.0612244897959184
"79","iven","medic",331.116666666667,25,0.0453012533346756,0.135135135135135,1.81081081081081,17.1117934262848,0,Inf,0.187245180449992,0.335229274676599,130.065938490965,Inf,0.131562449207049,0.410731363567725,1075.63295917854,0.0422811697790305,0.102941176470588
"80","jen","medic",165.05,25,0,0,0.741935483870968,3.37473492880945,0,Inf,0.0787640109057861,0.563465616479855,168.97909724326,Inf,0.0199713158838293,0.278703423205089,876.988791275371,0.0363526204180551,0.130434782608696
"81","kELlEr","medic",207.1,25,0.0531144374698213,0.0990990990990991,1.05405405405405,19.3674553355867,0,Inf,0.140028971511347,0.535972959922743,174.379526798648,Inf,0.11106496095697,0.342829550941574,1046.00676001931,0.0482858522452921,0.140845070422535
"82","lau","medic",345.05,25,0.0231850456455586,0.0677966101694915,2.24576271186441,5.61078104622518,0,Inf,0.260831763512534,0.34197942327199,129.108824807999,Inf,0.0434577656064109,0.359368207506158,1115.63251702652,0.0376756991740327,0.104838709677419
"83","lock","medic",130.05,25,0.0615148019992311,0.145454545454545,1.8,14.0715109573241,0,Inf,0.230680507497116,0.422914263744714,148.696655132641,Inf,0.0946323301272107,0.392156862745098,1019.10034602076,0.0384467512495194,0.0980392156862745
"84","lunar","medic",142.333333333333,25,0.0843091334894614,0.133333333333333,0.588888888888889,38.7962529274005,0.765807962529274,50.6605504587156,0.126463700234192,0.63231850117096,185.7962529274,242.614678899083,0.208810739270183,0.238875878220141,752.009367681499,0.063231850117096,0.264705882352941
"85","Michael","medic",272.966666666667,25,0.0439614116497741,0.0902255639097744,1.15789473684211,14.2508242764684,0,Inf,0.230797411161314,0.48723897911833,157.326901941629,Inf,0.0905809756665502,0.362681646110636,1070.83770912199,0.021980705824887,0.0606060606060606
"86","Ravu4","medic",354.75,25,0.0338266384778013,0.072289156626506,1.14457831325301,15.6391825229035,0,Inf,0.191684284707541,0.467935165609584,161.702607470049,Inf,0.0967157102015201,0.374911909795631,1040.51867512333,0.0225510923185342,0.0601503759398496
"87","T3","medic",225.566666666667,25,0.0265996748928624,0.0983606557377049,2.19672131147541,10.0458105512044,0,Inf,0.203930840845279,0.270430028077435,123.063395891828,Inf,0.0816311826794913,0.44332791488104,1103.74464312103,0.0354662331904832,0.08
"88","weed liz","medic",457.616666666667,25,0.0262228211385075,0.0923076923076923,2.16153846153846,9.12991222639036,0,Inf,0.170448337400299,0.284080562333831,124.523436646393,Inf,0.0733188263372175,0.437047018975125,1080.56816112467,0.0240375860436319,0.055
